x,y,dist,quadrant,angle
-0.46886831847950816,-0.6010443335399032,0.7622937694578305,III,232.04258428719044
0.6380369551479816,0.44497852539643645,0.7778798391772951,I,34.89261678700811
0.8294404554180801,-0.2919558808207512,0.8793234361882849,IV,340.6083715282951
0.25782208843156695,0.2865947629325092,0.38549810300902376,I,48.0252929924682
0.8881333647295833,-0.20428815484046936,0.9113256957608594,IV,347.0461644099769
0.8684416729956865,-0.6266455170698464,1.0709227532643435,IV,324.18673786136327
0.49168040277436376,0.8863421971909702,1.0135837947568407,I,60.981563654373765
0.7615248616784811,0.7007296737283468,1.0348633680819246,I,42.6192225042731
0.45477595971897244,-0.1374227348715067,0.47508544662815855,IV,343.18640215859966
-0.6697527547366917,0.08993571624159813,0.6757641493400462,II,172.35196005933386
0.25055593624711037,-0.6766406795941293,0.7215406339703061,IV,290.31928532095276
-0.7297978093847632,0.9364983136765659,1.1872800571482076,II,127.92870302550017
-0.7345096110366285,-0.6014257646165788,0.9493246647221464,III,219.3110509500622
-0.7222005827352405,-0.18586143665015697,0.7457333004075795,III,194.43213678979293
-0.655424730386585,-0.7410843521356583,0.9893369467389035,III,228.51003335250815
-0.0037006577476859093,0.6042638006620109,0.6042751324175636,II,90.35088883256479
0.4857062203809619,0.11156190652400255,0.4983538817988978,I,12.935899082026557
0.512881837785244,0.13041771342977881,0.5292037032242133,I,14.267033327736685
-0.48939590342342854,-0.4890634249895811,0.6918752661789359,III,224.9805310146756
0.6098574586212635,-0.9848916535265744,1.158420342113473,IV,301.7663191925025
0.36828691279515624,0.9564399872906506,1.0248964335115656,I,68.94029365404823
-0.5342303602956235,-0.5168164023198187,0.7433042927148964,III,224.05079864039743
0.28717285487800837,0.0724985939450562,0.29618287374997865,I,14.16862331877766
-0.5824368274770677,0.916421924252063,1.0858461222712017,II,122.43821609758243
0.5390629549510777,0.9591798563487828,1.1002794491518322,I,60.66383736138683
0.9814981422387064,0.26285418635234237,1.016086082229741,I,14.99251356478644
0.4101897533982992,-0.43443623883649707,0.5974868027055991,IV,313.3556747297172
0.8099843543022871,-0.6578121427446604,1.0434517091637803,IV,320.9189321902054
-0.09521669754758477,-0.49866323079913855,0.5076723719515404,III,259.1898452928493
-0.19777018576860428,-0.8188223540782928,0.8423675527448011,III,256.42140586911853
0.5336194974370301,0.629987589083612,0.8256113676811448,I,49.73434112004493
